infinitive,infinitive_english,mood,mood_english,tense,tense_english,form_1s,form_1s_english,form_2s,form_2s_english,form_3s,form_3s_english,form_1p,form_1p_english,form_2p,form_2p_english,form_3p,form_3p_english,gerund,gerund_english,pastparticiple,pastparticiple_english
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya abandonado,have abandoned,hayas abandonado,have abandoned,haya abandonado,has abandoned,hayamos abandonado,have abandoned,hayáis abandonado,have abandoned,hayan abandonado,have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere abandonado,will have abandoned,hubieres abandonado,will have abandoned,hubiere abandonado,will have abandoned,hubiéremos abandonado,will have abandoned,hubiereis abandonado,will have abandoned,hubieren abandonado,will have abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera abandonado,had abandoned,hubieras abandonado,had abandoned,hubiera abandonado,had abandoned,hubiéramos abandonado,had abandoned,hubierais abandonado,had abandoned,hubieran abandonado,had abandoned,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,abandon,abandona,abandon,abandonad,abandons,,abandon,abandone,abandon,abandonen,abandon,abandonando,abandoning,abandonado,abandoned
abandonar,"to abandon, leave behind, desert; to quit, give up",Imperativo Negativo,Imperative Negative,Presente,Present,,abandon,no abandones,abandon,no abandonéis,abandons,,abandon,no abandone,abandon,no abandonen,abandon,abandonando,abandoning,abandonado,abandoned
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Presente,Present,abordo,board,abordas,board,aborda,boards,abordamos,board,abordáis,board,abordan,board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Futuro,Future,abordaré,will board,abordarás,will board,abordará,will board,abordaremos,will board,abordaréis,will board,abordarán,will board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Imperfecto,Imperfect,abordaba,was boarding,abordabas,were boarding,abordaba,was boarding,abordábamos,were boarding,abordabais,were boarding,abordaban,were boarding,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Pretérito,Preterite,abordé,boarded,abordaste,boarded,abordó,boarded,abordamos,boarded,abordasteis,boarded,abordaron,boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Condicional,Conditional,abordaría,would board,abordarías,would board,abordaría,would board,abordaríamos,would board,abordaríais,would board,abordarían,would board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Presente perfecto,Present Perfect,he abordado,have boarded,has abordado,have boarded,ha abordado,has boarded,hemos abordado,have boarded,habéis abordado,have boarded,han abordado,have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré abordado,will have boarded,habrás abordado,will have boarded,habrá abordado,will have boarded,habremos abordado,will have boarded,habréis abordado,will have boarded,habrán abordado,will have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había abordado,had boarded,habías abordado,had boarded,había abordado,had boarded,habíamos abordado,had boarded,habíais abordado,had boarded,habían abordado,had boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube abordado,,hubiste abordado,,hubo abordado,,hubimos abordado,,hubisteis abordado,,hubieron abordado,,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría abordado,would have boarded,habrías abordado,would have boarded,habría abordado,would have boarded,habríamos abordado,would have boarded,habríais abordado,would have boarded,habrían abordado,would have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Presente,Present,aborde,board,abordes,board,aborde,boards,abordemos,board,abordéis,board,aborden,board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Imperfecto,Imperfect,abordara,was boarding,abordaras,were boarding,abordara,was boarding,abordáramos,were boarding,abordarais,were boarding,abordaran,were boarding,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Futuro,Future,abordare,will board,abordares,will board,abordare,will board,abordáremos,will board,abordareis,will board,abordaren,will board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya abordado,have boarded,hayas abordado,have boarded,haya abordado,has boarded,hayamos abordado,have boarded,hayáis abordado,have boarded,hayan abordado,have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere abordado,will have boarded,hubieres abordado,will have boarded,hubiere abordado,will have boarded,hubiéremos abordado,will have boarded,hubiereis abordado,will have boarded,hubieren abordado,will have boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera abordado,had boarded,hubieras abordado,had boarded,hubiera abordado,had boarded,hubiéramos abordado,had boarded,hubierais abordado,had boarded,hubieran abordado,had boarded,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,board,aborda,board,abordad,boards,,board,aborde,board,aborden,board,abordando,boarding,abordado,boarded
abordar,"to board, get on [plane, bus, etc.]; to approach, accost [a person]",Imperativo Negativo,Imperative Negative,Presente,Present,,board,no abordes,board,no abordéis,boards,,board,no aborde,board,no aborden,board,abordando,boarding,abordado,boarded
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Presente,Present,aborto,abort,abortas,abort,aborta,aborts,abortamos,abort,abortáis,abort,abortan,abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Futuro,Future,abortaré,will abort,abortarás,will abort,abortará,will abort,abortaremos,will abort,abortaréis,will abort,abortarán,will abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Imperfecto,Imperfect,abortaba,was aborting,abortabas,were aborting,abortaba,was aborting,abortábamos,were aborting,abortabais,were aborting,abortaban,were aborting,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Pretérito,Preterite,aborté,aborted,abortaste,aborted,abortó,aborted,abortamos,aborted,abortasteis,aborted,abortaron,aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Condicional,Conditional,abortaría,would abort,abortarías,would abort,abortaría,would abort,abortaríamos,would abort,abortaríais,would abort,abortarían,would abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Presente perfecto,Present Perfect,he abortado,have aborted,has abortado,have aborted,ha abortado,has aborted,hemos abortado,have aborted,habéis abortado,have aborted,han abortado,have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré abortado,will have aborted,habrás abortado,will have aborted,habrá abortado,will have aborted,habremos abortado,will have aborted,habréis abortado,will have aborted,habrán abortado,will have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había abortado,had aborted,habías abortado,had aborted,había abortado,had aborted,habíamos abortado,had aborted,habíais abortado,had aborted,habían abortado,had aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube abortado,,hubiste abortado,,hubo abortado,,hubimos abortado,,hubisteis abortado,,hubieron abortado,,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría abortado,would have aborted,habrías abortado,would have aborted,habría abortado,would have aborted,habríamos abortado,would have aborted,habríais abortado,would have aborted,habrían abortado,would have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Presente,Present,aborte,abort,abortes,abort,aborte,aborts,abortemos,abort,abortéis,abort,aborten,abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Imperfecto,Imperfect,abortara,was aborting,abortaras,were aborting,abortara,was aborting,abortáramos,were aborting,abortarais,were aborting,abortaran,were aborting,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Futuro,Future,abortare,will abort,abortares,will abort,abortare,will abort,abortáremos,will abort,abortareis,will abort,abortaren,will abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya abortado,have aborted,hayas abortado,have aborted,haya abortado,has aborted,hayamos abortado,have aborted,hayáis abortado,have aborted,hayan abortado,have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere abortado,will have aborted,hubieres abortado,will have aborted,hubiere abortado,will have aborted,hubiéremos abortado,will have aborted,hubiereis abortado,will have aborted,hubieren abortado,will have aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera abortado,had aborted,hubieras abortado,had aborted,hubiera abortado,had aborted,hubiéramos abortado,had aborted,hubierais abortado,had aborted,hubieran abortado,had aborted,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,abort,aborta,abort,abortad,aborts,,abort,aborte,abort,aborten,abort,abortando,aborting,abortado,aborted
abortar,"to abort, cause to miscarry; to have a miscarriage",Imperativo Negativo,Imperative Negative,Presente,Present,,abort,no abortes,abort,no abortéis,aborts,,abort,no aborte,abort,no aborten,abort,abortando,aborting,abortado,aborted
abrazar,"to hug, embrace",Indicativo,Indicative,Presente,Present,abrazo,hug,abrazas,hug,abraza,hugs,abrazamos,hug,abrazáis,hug,abrazan,hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Futuro,Future,abrazaré,will hug,abrazarás,will hug,abrazará,will hug,abrazaremos,will hug,abrazaréis,will hug,abrazarán,will hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Imperfecto,Imperfect,abrazaba,was hugging,abrazabas,were hugging,abrazaba,was hugging,abrazábamos,were hugging,abrazabais,were hugging,abrazaban,were hugging,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Pretérito,Preterite,abracé,hugged,abrazaste,hugged,abrazó,hugged,abrazamos,hugged,abrazasteis,hugged,abrazaron,hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Condicional,Conditional,abrazaría,would hug,abrazarías,would hug,abrazaría,would hug,abrazaríamos,would hug,abrazaríais,would hug,abrazarían,would hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Presente perfecto,Present Perfect,he abrazado,have hugged,has abrazado,have hugged,ha abrazado,has hugged,hemos abrazado,have hugged,habéis abrazado,have hugged,han abrazado,have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré abrazado,will have hugged,habrás abrazado,will have hugged,habrá abrazado,will have hugged,habremos abrazado,will have hugged,habréis abrazado,will have hugged,habrán abrazado,will have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había abrazado,had hugged,habías abrazado,had hugged,había abrazado,had hugged,habíamos abrazado,had hugged,habíais abrazado,had hugged,habían abrazado,had hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube abrazado,,hubiste abrazado,,hubo abrazado,,hubimos abrazado,,hubisteis abrazado,,hubieron abrazado,,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría abrazado,would have hugged,habrías abrazado,would have hugged,habría abrazado,would have hugged,habríamos abrazado,would have hugged,habríais abrazado,would have hugged,habrían abrazado,would have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Presente,Present,abrace,hug,abraces,hug,abrace,hugs,abracemos,hug,abracéis,hug,abracen,hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Imperfecto,Imperfect,abrazara,was hugging,abrazaras,were hugging,abrazara,was hugging,abrazáramos,were hugging,abrazarais,were hugging,abrazaran,were hugging,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Futuro,Future,abrazare,will hug,abrazares,will hug,abrazare,will hug,abrazáremos,will hug,abrazareis,will hug,abrazaren,will hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya abrazado,have hugged,hayas abrazado,have hugged,haya abrazado,has hugged,hayamos abrazado,have hugged,hayáis abrazado,have hugged,hayan abrazado,have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere abrazado,will have hugged,hubieres abrazado,will have hugged,hubiere abrazado,will have hugged,hubiéremos abrazado,will have hugged,hubiereis abrazado,will have hugged,hubieren abrazado,will have hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera abrazado,had hugged,hubieras abrazado,had hugged,hubiera abrazado,had hugged,hubiéramos abrazado,had hugged,hubierais abrazado,had hugged,hubieran abrazado,had hugged,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,hug,abraza,hug,abrazad,hugs,,hug,abrace,hug,abracen,hug,abrazando,hugging,abrazado,hugged
abrazar,"to hug, embrace",Imperativo Negativo,Imperative Negative,Presente,Present,,hug,no abraces,hug,no abracéis,hugs,,hug,no abrace,hug,no abracen,hug,abrazando,hugging,abrazado,hugged
abrir,to open,Indicativo,Indicative,Presente,Present,abro,open,abres,open,abre,opens,abrimos,open,abrís,open,abren,open,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Futuro,Future,abriré,will open,abrirás,will open,abrirá,will open,abriremos,will open,abriréis,will open,abrirán,will open,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Imperfecto,Imperfect,abría,was opening,abrías,were opening,abría,was opening,abríamos,were opening,abríais,were opening,abrían,were opening,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Pretérito,Preterite,abrí,opened,abriste,opened,abrió,opened,abrimos,opened,abristeis,opened,abrieron,opened,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Condicional,Conditional,abriría,would open,abrirías,would open,abriría,would open,abriríamos,would open,abriríais,would open,abrirían,would open,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Presente perfecto,Present Perfect,he abierto,have opened,has abierto,have opened,ha abierto,has opened,hemos abierto,have opened,habéis abierto,have opened,han abierto,have opened,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Futuro perfecto,Future Perfect,habré abierto,will have opened,habrás abierto,will have opened,habrá abierto,will have opened,habremos abierto,will have opened,habréis abierto,will have opened,habrán abierto,will have opened,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había abierto,had opened,habías abierto,had opened,había abierto,had opened,habíamos abierto,had opened,habíais abierto,had opened,habían abierto,had opened,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube abierto,,hubiste abierto,,hubo abierto,,hubimos abierto,,hubisteis abierto,,hubieron abierto,,abriendo,opening,abierto,opened
abrir,to open,Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría abierto,would have opened,habrías abierto,would have opened,habría abierto,would have opened,habríamos abierto,would have opened,habríais abierto,would have opened,habrían abierto,would have opened,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Presente,Present,abra,open,abras,open,abra,opens,abramos,open,abráis,open,abran,open,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Imperfecto,Imperfect,abriera,was opening,abrieras,were opening,abriera,was opening,abriéramos,were opening,abrierais,were opening,abrieran,were opening,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Futuro,Future,abriere,will open,abrieres,will open,abriere,will open,abriéremos,will open,abriereis,will open,abrieren,will open,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya abierto,have opened,hayas abierto,have opened,haya abierto,has opened,hayamos abierto,have opened,hayáis abierto,have opened,hayan abierto,have opened,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere abierto,will have opened,hubieres abierto,will have opened,hubiere abierto,will have opened,hubiéremos abierto,will have opened,hubiereis abierto,will have opened,hubieren abierto,will have opened,abriendo,opening,abierto,opened
abrir,to open,Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera abierto,had opened,hubieras abierto,had opened,hubiera abierto,had opened,hubiéramos abierto,had opened,hubierais abierto,had opened,hubieran abierto,had opened,abriendo,opening,abierto,opened
abrir,to open,Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,open,abre,open,abrid,opens,,open,abra,open,abran,open,abriendo,opening,abierto,opened
abrir,to open,Imperativo Negativo,Imperative Negative,Presente,Present,,open,no abras,open,no abráis,opens,,open,no abra,open,no abran,open,abriendo,opening,abierto,opened
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Presente,Present,aburro,bore,aburres,bore,aburre,bores,aburrimos,bore,aburrís,bore,aburren,bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Futuro,Future,aburriré,will bore,aburrirás,will bore,aburrirá,will bore,aburriremos,will bore,aburriréis,will bore,aburrirán,will bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Imperfecto,Imperfect,aburría,was boring,aburrías,were boring,aburría,was boring,aburríamos,were boring,aburríais,were boring,aburrían,were boring,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Pretérito,Preterite,aburrí,bored,aburriste,bored,aburrió,bored,aburrimos,bored,aburristeis,bored,aburrieron,bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Condicional,Conditional,aburriría,would bore,aburrirías,would bore,aburriría,would bore,aburriríamos,would bore,aburriríais,would bore,aburrirían,would bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Presente perfecto,Present Perfect,he aburrido,have bored,has aburrido,have bored,ha aburrido,has bored,hemos aburrido,have bored,habéis aburrido,have bored,han aburrido,have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Futuro perfecto,Future Perfect,habré aburrido,will have bored,habrás aburrido,will have bored,habrá aburrido,will have bored,habremos aburrido,will have bored,habréis aburrido,will have bored,habrán aburrido,will have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Pluscuamperfecto,Past Perfect,había aburrido,had bored,habías aburrido,had bored,había aburrido,had bored,habíamos aburrido,had bored,habíais aburrido,had bored,habían aburrido,had bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Pretérito anterior,Preterite (Archaic),hube aburrido,,hubiste aburrido,,hubo aburrido,,hubimos aburrido,,hubisteis aburrido,,hubieron aburrido,,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Indicativo,Indicative,Condicional perfecto,Conditional Perfect,habría aburrido,would have bored,habrías aburrido,would have bored,habría aburrido,would have bored,habríamos aburrido,would have bored,habríais aburrido,would have bored,habrían aburrido,would have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Presente,Present,aburra,bore,aburras,bore,aburra,bores,aburramos,bore,aburráis,bore,aburran,bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Imperfecto,Imperfect,aburriera,was boring,aburrieras,were boring,aburriera,was boring,aburriéramos,were boring,aburrierais,were boring,aburrieran,were boring,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Futuro,Future,aburriere,will bore,aburrieres,will bore,aburriere,will bore,aburriéremos,will bore,aburriereis,will bore,aburrieren,will bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Presente perfecto,Present Perfect,haya aburrido,have bored,hayas aburrido,have bored,haya aburrido,has bored,hayamos aburrido,have bored,hayáis aburrido,have bored,hayan aburrido,have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Futuro perfecto,Future Perfect,hubiere aburrido,will have bored,hubieres aburrido,will have bored,hubiere aburrido,will have bored,hubiéremos aburrido,will have bored,hubiereis aburrido,will have bored,hubieren aburrido,will have bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Subjuntivo,Subjunctive,Pluscuamperfecto,Past Perfect,hubiera aburrido,had bored,hubieras aburrido,had bored,hubiera aburrido,had bored,hubiéramos aburrido,had bored,hubierais aburrido,had bored,hubieran aburrido,had bored,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Imperativo Afirmativo,Imperative Affirmative,Presente,Present,,bore,aburre,bore,aburrid,bores,,bore,aburra,bore,aburran,bore,aburriendo,boring,aburrido,bored
aburrir,"to bore; to tire, weary",Imperativo Negativo,Imperative Negative,Presente,Present,,bore,no aburras,bore,no aburráis,bores,,bore,no aburra,bore,no aburran,bore,aburriendo,boring,aburrido,bored
aburrirse,"to get bored, become bored, be bored",Indicativo,Indicative,Presente,Present,me aburro,get bored,te aburres,get bored,se aburre,get boreds,nos aburrimos,get bored,os aburrís,get bored,se aburren,get bored,aburriéndose,getting bored,aburrido,bored
aburrirse,"to get bored, become bored, be bored",Indicativo,Indicative,Futuro,Future,me aburriré,will get bored,te aburrirás,will get bored,se aburrirá,will get bored,nos aburriremos,will get bored,os aburriréis,will get bored,se aburrirán,will get bored,aburriéndose,getting bored,aburrido,bored
